,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
0,0,2019-09-11 14:37:04,Brian_Haenchen,,0,2,2,Signs from across the street — State Farm and Lone Star Steakhouse — we’re blown clean off. @Argus911 – at Wheel City Auto Finance Centers,,@Argus911,[],1171794796110913536,https://twitter.com/Brian_Haenchen/status/1171794796110913536,1840002648,Sioux Falls,43.5397,-96.7321
1,1,2019-11-10 19:08:01,BrookeLikesHam,krrrstin,1,0,1,Oh I almost went to state farm bc it's what my family uses. I had some people close to me get screwed over after they were hit by a tornado so I said NOPE.,,,[],1193606253991346176,https://twitter.com/BrookeLikesHam/status/1193606253991346176,1840000313,Pierre,44.3748,-100.3205
2,2,2019-08-20 14:44:07,CopperheadAg,,0,0,1,Ready to roll at our home state Farm show @Dakotafest today thru Thursday!,,@Dakotafest,[],1163824033437274112,https://twitter.com/CopperheadAg/status/1163824033437274112,1840000313,Pierre,44.3748,-100.3205
3,3,2019-04-05 14:09:53,SFAgentJoeMejia,,0,0,0,"Celebrating a Significant Business Milestone - With the Support of Our Loyal Policyholders, State Farm Has Reached 8 Million Life Insurance Policies in Force. Please Contact Our Agency to Schedule an Appointment to Discuss Your Life Insurance Needs, 303.772.8335. ",,,[],1114168283324928001,https://twitter.com/SFAgentJoeMejia/status/1114168283324928001,1840000313,Pierre,44.3748,-100.3205
4,4,2019-09-11 14:37:04,Brian_Haenchen,,0,2,2,Signs from across the street — State Farm and Lone Star Steakhouse — we’re blown clean off. @Argus911 – at Wheel City Auto Finance Centers,,@Argus911,[],1171794796110913536,https://twitter.com/Brian_Haenchen/status/1171794796110913536,1840002653,Hartford,43.621,-96.9424
5,5,2019-09-10 00:35:26,the__lonster,,0,0,1,"If you’re dating a car insurance salesman, you’re single to me. WTF is Jake gonna do, call at midnight wearing his khakis and offer a discount? #StateFarm #khakis",,,StateFarm khakis,1171220604093120512,https://twitter.com/the__lonster/status/1171220604093120512,1840002180,Rapid City,44.0716,-103.2205
6,6,2019-09-07 03:12:54,steve_culhane,,0,0,1,I called in sick to State Farm in Lincoln in the Spring of 1981 so I could watch the NFL draft on @espn and was so excited that the @Vikings drafted Jarvid Redwine of the @HuskerSports! #relievingmyyouth,,@espn @Vikings @HuskerSports,relievingmyyouth,1170173067869507584,https://twitter.com/steve_culhane/status/1170173067869507584,1840002642,Mitchell,43.7296,-98.0337
7,7,2019-09-10 00:35:26,the__lonster,,0,0,1,"If you’re dating a car insurance salesman, you’re single to me. WTF is Jake gonna do, call at midnight wearing his khakis and offer a discount? #StateFarm #khakis",,,StateFarm khakis,1171220604093120512,https://twitter.com/the__lonster/status/1171220604093120512,1840002183,Box Elder,44.1129,-103.0806
8,8,2019-09-11 14:37:04,Brian_Haenchen,,0,2,2,Signs from across the street — State Farm and Lone Star Steakhouse — we’re blown clean off. @Argus911 – at Wheel City Auto Finance Centers,,@Argus911,[],1171794796110913536,https://twitter.com/Brian_Haenchen/status/1171794796110913536,1840002650,Brandon,43.5928,-96.5799
9,9,2019-09-10 00:35:26,the__lonster,,0,0,1,"If you’re dating a car insurance salesman, you’re single to me. WTF is Jake gonna do, call at midnight wearing his khakis and offer a discount? #StateFarm #khakis",,,StateFarm khakis,1171220604093120512,https://twitter.com/the__lonster/status/1171220604093120512,1840004098,Rapid Valley,44.0674,-103.1225
10,10,2019-09-11 14:37:04,Brian_Haenchen,,0,2,2,Signs from across the street — State Farm and Lone Star Steakhouse — we’re blown clean off. @Argus911 – at Wheel City Auto Finance Centers,,@Argus911,[],1171794796110913536,https://twitter.com/Brian_Haenchen/status/1171794796110913536,1840002841,Tea,43.4511,-96.8339
